environment_pos,environment_neg,server_pos,server_neg,service_pos,service_neg,line_pos,line_neg,food_pos,food_neg,dessert_pos,dessert_neg,pricing_pos,pricing_neg,parking_pos,parking_neg,beverage_pos,beverage_neg,stars,date,user_id
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,5,2016-07-25 04:34:34,417HF4q8ynnWtuJrkNax_g
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,2016-12-19 20:27:16,1UAb3zZQeGX6fzZax5DY1A
0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,2018-08-23 20:58:39,p2kXD3gNu3N776C0WrmBjA
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,2013-06-24 18:07:12,7cDhfvTSH1wTxEmXMj_ChQ
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2010-10-06 08:03:20,7QTh-fkw9Nr2lO10-PV8yw
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,2,2013-04-10 17:41:20,D9JPSQOgYSWTSGEVXh3-9Q
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5,2017-09-20 14:36:24,ki3u6YE6T4ZE2Vqfa9bMLw
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,2013-12-29 00:47:12,AR4iAZuZdShphRC_oS2Slg
0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,4,2012-01-03 18:59:42,1WE0E1ewe2ZZU0l3V5vNWQ
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2016-01-17 05:55:46,JWEwJXd2KB0ExTOrHg2pAg
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2016-09-30 21:54:25,8NJnSGHRXit1OPwhFoe2cg
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5,2015-07-03 19:46:00,VKSshjHlT1vm5JU5BFJ-8A
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,2018-09-14 03:19:29,aooRqzdbmNsoDNhoga4eWA
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2014-04-01 01:49:12,zdb3JDpOUeEz3ulBZw-p6A
1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,5,2013-01-27 17:37:33,_KVAlmVunQGM1vo0K3OB_g
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,4,2015-07-16 06:01:03,WYY7hQ7nJNfQxHWIpFSIew
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2014-06-28 00:03:33,828vBnOBUD9iSvSItC2neQ
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2015-08-19 05:21:58,oO3x0TxIz9mD_WT0oXl6Tg
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2011-09-25 23:24:53,eTdjU44bQcCZe7xsuuvbqQ
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5,2015-09-24 03:34:27,f7I8MmYo01dVjIbN7yJbIA
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5,2016-03-30 22:57:10,Ccv0TwUOlg10EcykK-RkmA
0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,3,2015-08-06 23:15:21,7nCVnkTJes9ou6KePNGO2w
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2016-02-12 00:49:45,7v8Gv-6bpSJPUGdq2RN1_g
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,2018-09-03 01:31:38,HQ1wmVMZGGIiQhA3c0iw0g
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,2011-02-13 19:38:44,HIAU0RTaRUwJEoJUJ3rAIw
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,2016-06-23 02:00:51,uXuNr8xYXAaPBO9nzU8VSg
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,2017-11-18 21:49:10,wL-i6xjNyQfI9w3ZJgyeEQ
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2017-10-24 21:41:45,eIG02mkM9zLvJjjtL3WWwg
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2013-01-02 16:46:00,3WUXnl1m-sUbKJnvctb_kw
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2017-07-08 17:52:28,FKuH-h_P1fAi2ec8EjXolg
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,2018-03-15 23:12:21,FBfHrbU8OvTrP5jafNnQqA
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2015-04-01 13:56:36,CGwlI7N3jMnEzSnoHYlbcg
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2018-07-26 14:37:44,-k6vvC4ho4qqma8ZmuiFEQ
